"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",1,16,15,50,"1/1","1/16","1/1-1/2-1/3-1/4-1/5-1/6-1/7-1/8-1/9-1/10-1/11-1/12-1/13-1/14-1/15-1/16","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise",51817.,52109.7667,71965.,"{71965., 53463., 53846., 54092., 53998., 54182., 53282., 52676., 51905., 51989., 51900., 52069., 52151., 52010., 51926., 52178., 52076., 52049., 52052., 52035., 51946., 52303., 52112., 51968., 51947., 51999., 52033., 52048., 52066., 51848., 51817., 52052., 52064., 52018., 51901., 51905., 51993., 51998., 52059., 51916., 51918., 52115., 51997., 52456., 52682., 52905., 52390., 52393., 52631., 52042.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",17,32,15,50,"2/1","2/16","2/1-2/2-2/3-2/4-2/5-2/6-2/7-2/8-2/9-2/10-2/11-2/12-2/13-2/14-2/15-2/16","Resize","Convolution","Resize-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution-Elementwise-Convolution",41186.,41342.433300000004,95353.,"{95353., 41943., 41344., 41385., 41300., 41395., 41495., 41355., 41315., 41285., 41357., 41299., 41303., 41421., 41355., 41271., 41350., 41288., 41326., 41413., 41438., 41342., 41292., 41436., 41317., 41399., 41317., 41355., 41320., 41255., 41334., 41332., 41384., 41321., 41347., 41342., 41266., 41186., 41261., 41273., 41390., 41285., 41332., 41326., 41225., 41428., 41419., 41418., 41362., 41377.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",33,33,0,50,"2/17","2/17","2/17","Elementwise","Elementwise","Elementwise",62.,62.4333,117.,"{117., 70., 62., 63., 63., 62., 62., 62., 63., 63., 62., 62., 62., 62., 62., 62., 63., 63., 63., 63., 63., 62., 62., 63., 63., 62., 62., 62., 62., 62., 62., 62., 62., 62., 62., 62., 63., 63., 62., 83., 64., 63., 62., 66., 69., 64., 62., 63., 63., 62.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",34,34,0,50,"2/18","2/18","2/18","Convolution","Convolution","Convolution",944.,955.8000000000001,1118.,"{1118., 996., 979., 953., 946., 947., 967., 1022., 948., 946., 968., 950., 946., 945., 969., 949., 948., 997., 972., 949., 952., 946., 944., 951., 945., 944., 945., 1032., 956., 949., 947., 984., 951., 951., 948., 976., 951., 999., 953., 979., 964., 961., 950., 965., 950., 949., 948., 996., 984., 950.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",35,35,0,50,"2/19","2/19","2/19","Elementwise","Elementwise","Elementwise",36.,37.,73.,"{73., 40., 37., 38., 37., 37., 37., 37., 37., 37., 36., 37., 37., 38., 37., 38., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 36., 37., 59., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 36., 36., 37., 37., 37., 37., 37., 37., 38.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",36,36,0,50,"2/20","2/20","2/20","Convolution","Convolution","Convolution",936.,947.7,1058.,"{1058., 949., 939., 937., 958., 954., 940., 1001., 963., 940., 943., 938., 956., 942., 937., 937., 962., 1000., 939., 937., 960., 950., 936., 942., 937., 966., 939., 986., 948., 965., 941., 941., 940., 965., 939., 937., 937., 995., 967., 945., 943., 968., 945., 941., 940., 957., 943., 941., 1002., 965.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",37,37,0,50,"2/21","2/21","2/21","Elementwise","Elementwise","Elementwise",36.,36.9667,86.,"{86., 42., 38., 37., 37., 37., 37., 38., 45., 37., 37., 37., 37., 38., 37., 36., 37., 37., 37., 36., 37., 37., 37., 37., 37., 37., 36., 47., 37., 37., 37., 37., 36., 36., 38., 37., 38., 36., 37., 36., 36., 37., 36., 37., 36., 37., 36., 37., 37., 37.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",38,38,0,50,"2/22","2/22","2/22","Flatten","Flatten","Flatten",33.,36.7,121.,"{59., 40., 38., 38., 37., 37., 37., 36., 36., 36., 37., 37., 37., 37., 37., 45., 38., 37., 37., 36., 37., 37., 37., 37., 36., 37., 36., 37., 36., 36., 36., 36., 36., 37., 36., 37., 36., 36., 37., 36., 37., 36., 37., 36., 37., 37., 121., 39., 34., 33.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",39,39,0,50,"2/23","2/23","2/23","Linear","Linear","Linear",2086.,2143.5667000000003,4181.,"{4181., 3987., 3967., 3855., 3830., 3744., 2657., 2209., 2221., 2161., 2114., 2141., 2138., 2149., 2136., 2181., 2118., 2178., 2098., 2112., 2105., 2093., 2187., 2165., 2190., 2114., 2177., 2098., 2118., 2100., 2119., 2173., 2096., 2117., 2089., 2159., 2123., 2162., 2153., 2179., 2182., 2122., 2086., 2092., 2094., 2117., 2129., 2103., 2139., 2139.}"
"ColorNet Image Colorization Trained on ImageNet Competition Data","c5.2xlarge",40,40,0,50,"2/24","2/24","2/24","Elementwise","Elementwise","Elementwise",36.,37.,64.,"{64., 41., 38., 37., 40., 37., 38., 37., 37., 37., 37., 37., 37., 37., 37., 37., 38., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 38., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 36., 37., 36., 36., 37., 37., 36., 36., 37., 36.}"
