"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
<<<<<<< HEAD
"CycleGAN Monet-to-Photo Translation","c5.2xlarge",1,4,3,50,"1","4","1-2-3-4","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization",115791.,116143.1333,141630.,"{141630., 116093., 116515., 116407., 116326., 116303., 116385., 116326., 116290., 116236., 116039., 115949., 116070., 115791., 116077., 116040., 116363., 115893., 116008., 116029., 115987., 116196., 115948., 115825., 115964., 116040., 116252., 116446., 116522., 116446., 116474., 116407., 116428., 116371., 116006., 116074., 116009., 116036., 115958., 116151., 115949., 115990., 116098., 116077., 116005., 115994., 116224., 116150., 116274., 116137.}"
"CycleGAN Monet-to-Photo Translation","c5.2xlarge",5,8,3,50,"5","8","5-6-7-8","Elementwise","Elementwise","Elementwise-Convolution-Normalization-Elementwise",60695.,61273.7333,70318.,"{70318., 61434., 61545., 61540., 61513., 61544., 61328., 61320., 61393., 61293., 61339., 61343., 61342., 61291., 61126., 60931., 60760., 60775., 61026., 61000., 60830., 60871., 61461., 61478., 61414., 61462., 61526., 61477., 61471., 61637., 61522., 60821., 60759., 61028., 60792., 60940., 61163., 60924., 60695., 60747., 61008., 60909., 61318., 61424., 61467., 61549., 61506., 61395., 61308., 61308.}"
"CycleGAN Monet-to-Photo Translation","c5.2xlarge",9,12,3,50,"9","12/1/1","9-10-11-12/1/1","Convolution","Padding","Convolution-Normalization-Elementwise-Padding",30505.,30736.100000000002,35410.,"{35410., 31095., 31071., 31001., 31048., 31078., 31074., 31026., 31022., 31035., 31068., 31001., 30994., 30971., 30983., 30909., 30822., 30712., 30623., 30552., 30578., 30638., 30788., 30738., 30683., 30609., 30574., 30538., 30512., 30505., 30677., 30651., 30647., 30700., 30716., 30612., 30605., 30595., 30563., 30536., 30576., 30776., 30678., 30741., 30745., 30662., 30620., 30608., 30564., 30551.}"
"CycleGAN Monet-to-Photo Translation","c5.2xlarge",13,16,3,50,"12/1/2","12/1/5","12/1/2-12/1/3-12/1/4-12/1/5","Convolution","Padding","Convolution-Normalization-Elementwise-Padding",33493.,33979.0667,42445.,"{42445., 33627., 33747., 33717., 33802., 33999., 33767., 33703., 33827., 33816., 33663., 33649., 33574., 33493., 33626., 34067., 34140., 34132., 34150., 34194., 34185., 34158., 34119., 34100., 34089., 34119., 34197., 34167., 34161., 34124., 34063., 34123., 34080., 34163., 34104., 34137., 34139., 34082., 34056., 34038., 34066., 33935., 33901., 33819., 33766., 33768., 33762., 33712., 33798., 33774.}"
"CycleGAN Monet-to-Photo Translation","c5.2xlarge",17,17,0,50,"12/1/6","12/1/6","12/1/6","Convolution","Convolution","Convolution",6108.,6218.1,6898.,"{6898., 6582., 6429., 6369., 6289., 6270., 6284., 6227., 6241., 6251., 6249., 6242., 6203., 6175., 6270., 6185., 6178., 6138., 6150., 6194., 6153., 6188., 6141., 6223., 6248., 6413., 6412., 6303., 6205., 6153., 6206., 6262., 6228., 6175., 6196., 6262., 6330., 6300., 6254., 6221., 6159., 6192., 6162., 6178., 6179., 6125., 6194., 6135., 6163., 6108.}"
"CycleGAN Monet-to-Photo Translation","c5.2xlarge",18,18,0,50,"12/1/7","12/1/7","12/1/7","Normalization","Normalization","Normalization",26114.,26146.2,26198.,"{26192., 26169., 26141., 26161., 26144., 26177., 26153., 26123., 26132., 26148., 26145., 26122., 26125., 26134., 26154., 26118., 26132., 26122., 26141., 26137., 26127., 26141., 26124., 26158., 26129., 26123., 26120., 26135., 26121., 26132., 26114., 26130., 26121., 26116., 26138., 26138., 26151., 26173., 26183., 26167., 26177., 26173., 26196., 26187., 26197., 26193., 26180., 26198., 26197., 26192.}"
"CycleGAN Monet-to-Photo Translation","c5.2xlarge",19,22,3,50,"12/2","13/1/3","12/2-13/1/1-13/1/2-13/1/3","Total","Normalization","Total-Padding-Convolution-Normalization",33574.,33869.3,34337.,"{34337., 34188., 34198., 34161., 34250., 34198., 34152., 34129., 34171., 34166., 34134., 34144., 34194., 34120., 34145., 33957., 33898., 33760., 33714., 33677., 33651., 33608., 33806., 33683., 34035., 33822., 33695., 33733., 33677., 33664., 33675., 33596., 33626., 33677., 33690., 33692., 33982., 33934., 33944., 33788., 33728., 33633., 33574., 33681., 33883., 34065., 33814., 33951., 33782., 33693.}"
"CycleGAN Monet-to-Photo Translation","c5.2xlarge",23,26,3,50,"13/1/4","13/1/7","13/1/4-13/1/5-13/1/6-13/1/7","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization",33486.,34015.5,42281.,"{42281., 33576., 33537., 33623., 33936., 33953., 34041., 34040., 34059., 34073., 34059., 33981., 34150., 34108., 34092., 34069., 34155., 34036., 34106., 34085., 34132., 33993., 34028., 34223., 34018., 33962., 33950., 34107., 33942., 34104., 34007., 33968., 34080., 34049., 33984., 33933., 33917., 34017., 33911., 33999., 34026., 34002., 34010., 34009., 34005., 34084., 33927., 33837., 33546., 33486.}"
"CycleGAN Monet-to-Photo Translation","c5.2xlarge",27,30,3,50,"13/2","14/1/3","13/2-14/1/1-14/1/2-14/1/3","Total","Normalization","Total-Padding-Convolution-Normalization",33556.,33879.433300000004,34341.,"{34152., 33941., 33934., 33916., 33805., 33726., 33715., 33821., 33722., 33630., 33708., 33799., 33611., 33629., 33556., 33600., 33778., 33759., 33692., 33668., 33607., 33695., 33691., 33639., 33738., 34178., 34341., 34168., 34251., 34162., 34221., 34087., 33996., 33776., 33722., 33857., 33748., 33658., 33619., 33858., 34128., 34182., 34120., 34276., 34212., 34156., 34162., 34103., 34123., 34117.}"
"CycleGAN Monet-to-Photo Translation","c5.2xlarge",31,34,3,50,"14/1/4","14/1/7","14/1/4-14/1/5-14/1/6-14/1/7","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization",33402.,33830.3333,34123.,"{34034., 33958., 33983., 33944., 34010., 33963., 34024., 34123., 34033., 34051., 34085., 34087., 34009., 33949., 33958., 33847., 33903., 33775., 33643., 34045., 34064., 34039., 34059., 34078., 34050., 34034., 33806., 33669., 33745., 33785., 33631., 33516., 33566., 33450., 33573., 33498., 33422., 33457., 33602., 33504., 33446., 34025., 34057., 33802., 33580., 33461., 33425., 33439., 33402., 33410.}"
"CycleGAN Monet-to-Photo Translation","c5.2xlarge",35,38,3,50,"14/2","15/1/3","14/2-15/1/1-15/1/2-15/1/3","Total","Normalization","Total-Padding-Convolution-Normalization",33574.,34040.466700000004,34314.,"{34163., 34094., 34020., 33803., 33795., 33921., 33726., 33678., 33854., 33805., 33647., 33676., 33814., 33853., 33678., 33574., 33614., 33753., 33874., 33887., 34049., 34179., 34314., 34168., 34122., 34199., 34194., 34182., 34120., 34191., 34124., 34132., 34158., 34134., 34163., 34205., 34245., 34265., 34234., 34194., 34176., 34181., 34160., 34108., 34068., 34091., 34080., 33926., 33814., 33976.}"
"CycleGAN Monet-to-Photo Translation","c5.2xlarge",39,42,3,50,"15/1/4","15/1/7","15/1/4-15/1/5-15/1/6-15/1/7","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization",33380.,33534.0333,33966.,"{33966., 33744., 33876., 33930., 33692., 33553., 33508., 33477., 33489., 33424., 33655., 33551., 33468., 33435., 33402., 33472., 33380., 33412., 33507., 33404., 33383., 33476., 33826., 33589., 33457., 33683., 33555., 33431., 33469., 33691., 33647., 33585., 33889., 33799., 33709., 33577., 33481., 33432., 33708., 33651., 33525., 33434., 33424., 33556., 33672., 33458., 33389., 33442., 33503., 33455.}"
"CycleGAN Monet-to-Photo Translation","c5.2xlarge",43,46,3,50,"15/2","16/1/3","15/2-16/1/1-16/1/2-16/1/3","Total","Normalization","Total-Padding-Convolution-Normalization",33712.,34072.6333,34271.,"{34242., 33966., 33942., 34227., 34208., 34165., 34271., 34196., 34163., 34191., 34165., 34177., 34142., 34114., 34124., 34195., 34108., 34119., 34094., 34125., 34107., 34155., 34177., 34199., 34173., 34154., 34193., 34105., 34137., 34009., 33982., 33828., 33712., 33932., 33801., 33989., 33993., 33958., 33795., 33759., 34005., 34002., 33922., 33886., 34047., 33933., 33856., 33837., 34094., 33932.}"
"CycleGAN Monet-to-Photo Translation","c5.2xlarge",47,50,3,50,"16/1/4","16/1/7","16/1/4-16/1/5-16/1/6-16/1/7","Elementwise","Normalization","Elementwise-Padding-Convolution-Normalization",33405.,34033.9,34262.,"{33938., 33759., 33531., 33508., 33405., 33446., 33488., 33723., 33556., 33490., 33527., 33739., 33527., 33422., 33477., 33734., 34131., 34121., 34108., 34105., 33950., 34022., 34028., 34118., 34040., 34084., 34054., 34139., 34161., 34140., 34145., 34192., 34216., 34133., 34226., 34093., 34187., 34183., 34262., 34110., 34096., 34249., 34146., 34220., 34163., 34234., 34241., 34138., 34160., 34206.}"
